Name,Formula,Dielectric constant(εrel),nD
diethyl ether,C4H10O,4.33,1.3524
diethyl nonanedioate,C13H24O4,5.13,1.435
diethyl oxalate,C6H10O4,8.1,1.41
diethyl pentanedioate,C9H16O4,6.66,1.424
diethyl propanedioate,C7H12O4,7.87,1.414
diethyl sulfide,C4H10S,7.2,1.442
diethyl sulfite,C4H10O3S,16.2,1.414
diethyl sulphate,C4H10O4S,29.2,1.4004
diethylamine,C4H11N,3.92,1.3864
diethylene glycol,C4H10O3,31.7,1.445
dihydrocarvone,C10H16O,8.53,1.4718
diiodomethane,CH2I2,5.3,1.741
diisopropyl ether,C6H14O,4.04,1.3684
diisopropyl sulfide,C6H14S,5.81,1.438
diisopropylamine,C6H15N,3.04,1.392
dimethoxydimethylsilane,C4H12O2Si,3.66,1.371
dimethoxymethane,C3H8O2,2.65,1.353
dimethyl butanedioate,C6H10O4,5.1,1.42
dimethyl carbonate,C3H6O3,3.17,1.369
dimethyl disulfide,C2H6S2,9.77,1.525
dimethyl phthalate,C10H10O4,8.66,1.516
dimethyl propanedioate,C5H8O4,10.3,1.42
dimethyl sulfate,C2H6O4S,50.28,1.386
dimethyl sulfide,C2H6S,6.3,1.435
dimethyl sulfoxide,C2H6OS,46.68,1.4793
dimethylcyanamide,C3H6N2,37.23,1.41
dimethyldiethoxysilane,C6H16O2Si,3.22,1.382
dioxane,C4H8O2,2.25,1.4224
dipentyl ether,C10H22O,3.1,1.412
dipentyl sulfide,C10H22S,3.83,1.4562
dipentylamine,C10H23N,2.5,1.4272
diphenyl ether,C12H10O,3.9,1.579
diphenylmethane,C13H12,2.61,1.575
dipropyl ether,C6H14O,3.39,1.381
dipropylamine,C6H15N,2.9,1.405
dl-limonene,C10H16,2.3,1.474
dodecamethylpentasiloxane,C12H36O4Si5,2.46,1.3925
dodecane,C12H26,2,1.422
dodecanenitrile,C12H23N,10.11,1.435
ethanediol,C2H6O2,37,1.429
ethanethiol,C2H6S,6.9,1.4317
ethanol,C2H6O,24.5,1.3614
ethoxyacetylene,C4H6O,8.05,1.378
ethoxybenzene,C8H10O,4.5,1.507
ethoxytrimethylsilane,C5H14OSi,3.01,1.374
ethyl (E)-2-butenoate,C6H10O2,5.4,1.425
ethyl (E)-3-chloro-2-butenoate,C6H9ClO2,7.67,1.4568
ethyl (E)-3-phenylprop-2-enoate,C11H12O2,6.1,1.56
ethyl (Z)-3-chloro-2-butenoat,C6H9ClO2,4.7,1.4599
ethyl (Z)-octadec-9-enoate,C20H38O2,3.17,1.4519
ethyl 2-bromo-2-methylpropanoate,C6H11BrO2,7.9,1.444
ethyl 2-bromopropionate,C5H9BrO2,9.3,1.449
ethyl 2-chloropropanoate,C5H9ClO2,10.1,1.4185
ethyl 2-hydroxypropanoate,C5H10O3,13.1,1.415
ethyl 3-oxo-3-phenylpropanoate,C11H12O3,12.4,1.5312
ethyl 3-oxobutanoate,C6H10O3,15.7,1.419
ethyl 4-oxopentanoate,C7H12O3,11.9,1.423
ethyl acetate,C4H8O2,6.4,1.3724
ethyl benzoate,C9H10O2,6,1.5052
ethyl bromoacetate,C4H7BrO2,9.75,1.451
ethyl butanoate,C6H12O2,5.1,1.392
ethyl chloroacetate,C4H7ClO2,12.78,1.422
ethyl chloroformate,C3H5ClO2,11,1.397
ethyl cyanoacetate,C5H7NO2,26.9,1.418
ethyl dichloroacetate,C4H6Cl2O2,10.3,1.438
ethyl dodecanoate,C14H28O2,3.44,1.431
ethyl formate,C3H6O2,8.4,1.359
ethyl hexadecanoate,C18H36O2,3.2,1.4395
ethyl hexanoate,C8H16O2,4.57,1.407
ethyl isothiocyanate,C3H5NS,19.5,1.51
ethyl nitrate,C2H5NO3,19.4,1.3853
ethyl pentanoate,C7H14O2,4.71,1.4
ethyl pentyl ether,C7H16O,3.6,1.393
ethyl phenylacetate,C10H12O2,5.29,1.497
ethyl prop-2-enoate,C5H8O2,5.85,1.405
ethyl propanoate,C5H10O2,5.65,1.384
ethyl propiolate,C5H6O2,7,1.411
ethyl pyridine-4-carboxylate,C8H9NO2,8.95,1.5011
ethyl salicylate,C9H10O3,8.6,1.522
ethyl thiocyanate,C3H5NS,29.3,1.462
ethyl trichloroacetate,C4H5Cl3O2,7.8,1.45
ethyl undecanoate,C13H26O2,3.55,1.4285
ethylamine,C2H7N,6.94,1.384
ethylbenzene,C8H10,2.98,1.496
ethylcyclobutane,C6H12,1.97,1.402
ethylcyclopropane,C5H10,1.93,1.3786
ethynylbenzene,C8H6,2.99,1.548
fenchone,C10H16O,12.8,1.4623
fluorobenzene,C6H5F,5.55,1.466
formamide,CH3NO,111,1.4453
formic acid,CH2O2,58.5,1.37
furan,C4H4O,2.9,1.42
furfural,C5H4O2,42,1.524
heptanal,C7H14O,9.07,1.4257
heptane,C7H16,1.92,1.3876
heptanoic acid,C7H14O2,2.59,1.4223
heptanol,C7H16O,12.1,1.423
"hexachloro-1,3-butadiene",C4Cl6,2.59,1.556
hexachloroacetone,C3Cl6O,3.99,1.511
hexachlorocyclopentadiene,C5Cl6,2.91,1.564
hexachloropropene,C3Cl6,2.78,1.55
hexadecane,C16H34,2.05,1.435
hexadecanoic acid,C16H32O2,2.3,1.4273
hexafluorobenzene,C6F6,2.05,1.378
hexamethyldisiloxane,C6H18OSi2,2.17,1.377
hexamethylphosphoramide,C6H18N3OP,30,1.466
hexamethylphosphorothioic acid triamide,C6H18N3PS,39.5,1.507
hexane,C6H14,1.9,1.3749
hexanenitrile,C6H11N,17.26,1.407
hexanoic acid,C6H12O2,2.63,1.4162
hexanol,C6H14O,13.3,1.4178
hexyl acetate,C8H16O2,4.42,1.409
hexylamine,C6H15N,4.08,1.418
hydrogen cyanide,CHN,114.9,1.2675
iodobenzene,C6H5I,4.6,1.62
iodoethane,C2H5I,7.4,1.514
iodomethane,CH3I,6.92,1.532
isobutyl nitrate,C4H9NO3,11.7,1.4013
isobutyl vinyl ether,C6H12O,3.34,1.3938
isoprene,C5H8,2.1,1.4219
isopropyl nitrate,C3H7NO3,11.5,1.391
isopropylamine,C3H9N,5.5,1.377
isopropyltrimethylsilane,C6H16Si,2.85,1.386
isoquinoline,C9H7N,10.7,1.6223
l-menthol,C10H20O,3.95,1.4479
"meso-2,3-dibromobutane",C4H8Br2,6.24,1.515
methanol,CH4O,32.6,1.3284
methoxybenzene,C7H8O,4.45,1.5168
methoxysulfinyloxymethane,C2H6O3S,21.89,1.409
methyl (Z)-9-octadecenoate,C19H36O2,3.24,1.455
methyl 2-hydroxybenzoate,C8H8O3,9,1.537
methyl 2-methoxybenzoate,C9H10O3,7.7,1.534
methyl 2-methyl-2-propenoate,C5H8O2,2.9,1.415
methyl 2-propenoate,C4H6O2,7.12,1.408
methyl acetate,C3H6O2,6.7,1.362
methyl benzoate,C8H8O2,6.6,1.517
methyl butanoate,C5H10O2,5.5,1.387
methyl chloroacetate,C3H5ClO2,12.9,1.422
methyl chloroformate,C2H3ClO2,12.9,1.387
methyl cyanoacetate,C4H5NO2,28.8,1.4185
methyl cyclohexanecarboxylate,C8H14O2,4.87,1.451
methyl decanoate,C11H22O2,3.86,1.426
methyl dodecanoate,C13H26O2,3.6,1.432
methyl formate,C2H4O2,8.73,1.344
methyl heptanoate,C8H16O2,4.36,1.412
methyl hexanoate,C7H14O2,4.7,1.405
methyl linoleate,C19H34O2,3.2,1.461
methyl octanoate,C9H18O2,4.13,1.417
methyl pentanoate,C6H12O2,5.02,1.397
methyl propanoate,C4H8O2,6.23,1.377
methyl thiocyanate,C2H3NS,35,1.4685
methyl trichloroacetate,C3H3Cl3O2,8.79,1.457
methyl trifluoroacetate,C3H3F3O2,11.46,1.291
methylcyclohexane,C7H14,2.02,1.423
methylcyclopentane,C6H12,1.99,1.41
methylsulfanylbenzene,C7H8S,4.76,1.585
methyltripropoxysilane,C10H24O3Si,3.34,1.4085
morpholine,C4H9NO,7.4,1.455
"N,N,N',N'-tetramethylurea",C5H12N2O,24.46,1.45
"N,N-dibutylacetamide",C10H21NO,19.1,1.447
"N,N-diethylacetamide",C6H13NO,31.33,1.439
"N,N-diethylaniline",C10H15N,5.5,1.5418
"N,N-diethylformamide",C5H11NO,29.02,1.434
"N,N-dimethylacetamide",C4H9NO,37.78,1.4384
"N,N-dimethylaniline",C8H11N,4.4,1.558
"N,N-dimethylcyclohexylamine",C8H17N,2.86,1.454
"N,N-dimethylformamide",C3H7NO,36.71,1.4305
"N,N-dimethylpropanamide",C5H11NO,33.08,1.439
"N,N-dimethylthioformamide",C3H7NS,47.5,1.574
N-(tert-butyl)benzylamine,C11H17N,3.24,1.497
n-docosane,C22H46,2,1.4332
N-ethylaniline,C8H11N,5.76,1.554
N-ethylbenzylamine,C9H13N,4.3,1.511
n-hexadecyl bromide,C16H33Br,3.71,1.462
N-methylacetamide,C3H7NO,178.9,1.433
N-methylaniline,C7H9N,6,1.571
N-methylbenzylamine,C8H11N,4.08,1.522
N-methylcyclohexylamine,C7H15N,3.64,1.455
N-methylformamide,C2H5NO,171,1.432
N-methylformanilide,C8H9NO,17.21,1.561
N-methylpiperidine,C6H13N,2.59,1.437
N-methylpyrrolidone,C5H9NO,32.2,1.47
n-pentyl benzoate,C12H16O2,5,1.495
n-tetradecyl bromide,C14H29Br,3.84,1.46
naphthalene,C10H8,2.54,1.5898
nitric acid,HNO3,40,1.397
nitrobenzene,C6H5NO2,34.8,1.552
nitroethane,C2H5NO2,19.7,1.391
nitromethane,CH3NO2,39.4,1.382
nitrosodimethylamine,C2H6N2O,53,1.4358
nonane,C9H20,1.96,1.403
nonanol,C9H20O,8.83,1.4333
octadecafluoronaphthalene,C10F18,1.86,1.3145
octadecanoic acid,C18H36O2,2.29,1.4299
octanamine,C8H19N,3.58,1.4292
octane,C8H18,1.96,1.395
octanenitrile,C8H15N,13.9,1.422
octanoic acid,C8H16O2,3.2,1.4278
octanol,C8H18O,10.3,1.427
oxalyl chloride,C2Cl2O2,3.47,1.432
oxane,C5H10O,5.68,1.421
oxirane,C2H4O,13.9,1.3599
oxolan-2-one,C4H6O2,40.96,1.437
pentachloroethane,C2HCl5,3.9,1.503
pentadecane,C15H32,2.05,1.432
pentafluorobenzene,C6HF5,4.36,1.391
pentanal,C5H10O,10.1,1.4045
pentane,C5H12,1.8,1.3575
pentanenitrile,C5H9N,17.7,1.397
pentanoic acid,C5H10O2,2.6,1.408
pentanol,C5H12O,13.9,1.409
pentyl acetate,C7H14O2,4.75,1.402
pentyl formate,C6H12O2,6.49,1.4
pentylamine,C5H13N,4.5,1.4115
perfluoro(methylcyclohexane),C7F14,1.86,1.282
perfluoro-n-heptane,C7F16,1.76,1.261
perfluoro-n-octane,C8F18,1.81,1.284
perfluorotributylamine,C12F27N,1.9,1.291
perhydrofluorene,C13H22,2.31,1.502
phenol,C6H6O,10,1.542
phenyl acetate,C8H8O2,5.23,1.503
phenyl isothiocyanate,C7H5NS,10.4,1.6492
phenylacetaldehyde,C8H8O,4.8,1.5255
phenylhydrazine,C6H8N2,7.2,1.6093
phenylisocyanate,C7H5NO,8.8,1.5368
phenylmethyl butanoate,C11H14O2,4.55,1.493
phenylphosphonic dichloride,C6H5Cl2OP,26,1.56
phosphoric acid,H3O4P,61,1.431
phosphorus oxychloride,Cl3OP,13.5,1.46
phosphorus tribromide,Br3P,3.9,1.6963
phosphorus trichloride,Cl3P,3.43,1.5147
phthalide,C8H6O2,36,1.5356
piperidine,C5H11N,5.9,1.4525
potassium bromide,BrK,4.87,1.559
potassium chloride,ClK,4.82,1.49
potassium iodide,IK,5.12,1.677
propanal,C3H6O,18.5,1.38
propane,C3H8,1.6,1.3397
propanedinitrile,C3H2N2,46,1.4146
propanenitrile,C3H5N,27.7,1.366
propanoic acid,C3H6O2,3.1,1.386
propanoic anhydride,C6H10O3,18.3,1.404
propanol,C3H8O,21.8,1.3856
propene,C3H6,1.9,1.3625
propyl acetate,C5H10O2,6.3,1.384
propyl benzoate,C10H12O2,2.37,1.5
propyl butanoate,C7H14O2,4.3,1.4
propyl chloroformate,C4H7ClO2,11.2,1.404
propyl formate,C4H8O2,7.72,1.377
propyl nitrate,C3H7NO3,13.9,1.3973
propyl pentanoate,C8H16O2,4,1.407
propyl propanoate,C6H12O2,4.7,1.393
propylamine,C3H9N,5.9,1.3882
propylbenzene,C9H12,2.37,1.4931
pyrazine,C4H4N2,2.8,1.4953
pyridine,C5H5N,12.5,1.5102
pyrrole,C4H5N,7.5,1.509
pyrrolidine,C4H9N,8.3,1.4431
quadricyclane,C7H8,2.29,1.485
quinoline,C9H7N,8.95,1.627
rubidium bromide,BrRb,4.85,1.553
rubidium chloride,ClRb,4.94,1.493
rubidium iodide,IRb,4.83,1.6474
salicylaldehyde,C7H6O2,17.1,1.5736
selenium oxychloride,H2Cl2OSe,46,1.651
sodium bromide,BrNa,6.34,1.6412
sodium chloride,ClNa,5.93,1.5442
sodium iodide,INa,7.28,1.7745
strontium fluoride,F2Sr,6.47,1.442
styrene,C8H8,2.43,1.5446
sulfolane,C4H8O2S,44,1.471
sulfur monochloride,ClS,4.79,1.65
sulfuryl chloride,Cl2O2S,10,1.4433
tetrabutylgermane,C16H36Ge,2.33,1.4571
tetrabutylstannane,C16H36Sn,9.74,1.474
tetrachloroethene,C2Cl4,2.5,1.504
tetrachloromethane,CCl4,2.24,1.4601
tetrachlorostannane,Cl4Sn,2.87,1.512
tetradecafluorohexane,C6F14,1.57,1.252
tetraethoxysilane,C8H20O4Si,4.1,1.3832
tetraethylgermane,C8H20Ge,1.97,1.442
tetraethylstannane,C8H20Sn,2.8,1.5143
tetrahydrofuran,C4H8O,7.58,1.4072
tetrahydrofurfuryl alcohol,C5H10O2,13.48,1.452
tetrahydronaphthalene,C10H12,2.77,1.539
tetramethylgermane,C4H12Ge,1.82,1.389
tetramethylsilane,C4H12Si,1.92,1.359
tetranitromethane,CN4O8,2.52,1.4398
thallium chloride,ClTl,32.7,2.247
thiane,C5H10S,6.58,1.506
thioacetic acid,C2H4OS,13,1.464
thiolane,C4H8S,8.61,1.503
thiolane-1-oxide,C4H8OS,42.84,1.521
thionyl bromide,Br2OS,9.06,1.675
thionyl chloride,Cl2OS,9.25,1.5205
thiophene,C4H4S,2.71,1.529
titanium(IV) chloride,Cl4Ti,2.8,1.61
toluene,C7H8,2.38,1.4969
"trans,trans,cis-1,5,9-cyclododecatriene",C12H18,2.41,1.507
"trans-1,2-dichloroethene",C2H2Cl2,2.27,1.444
trans-1-phenyl-1-propene,C9H10,2.73,1.5497
trans-3-octene,C8H16,2,1.4126
trans-5-decene,C10H20,2.03,1.424
trans-decalin,C10H18,2.17,1.4697
triacetin,C9H14O6,7.01,1.428
tribromo-nitromethane,CBr3NO2,9.03,1.5831
tribromofluoromethane,CBr3F,3,1.5255
tribromomethane,CHBr3,4.4,1.595
tributyl phosphate,C12H27O4P,8.29,1.423
tributylamine,C12H27N,2.29,1.428
trichloroacetaldehyde,C2HCl3O,4.94,1.457
trichloroacetic anhydride,C4Cl6O3,5,1.484
trichloroethanenitrile,C2Cl3N,7.74,1.44
trichloroethene,C2HCl3,3.4,1.475
trichlorofluoromethane,CCl3F,2.38,1.383
trichloromethane,CHCl3,4.81,1.4458
trichloronitromethane,CCl3NO2,7.32,1.4608
"tricyclo[5.2.1.02,6]deca-3,8-diene",C10H12,2.49,1.511
triethoxymethylsilane,C7H18O3Si,3.85,1.383
"triethyl (E)-1-propene-1,2,3-tricarboxylate",C12H18O6,6.4,1.4519
triethyl phosphate,C6H15O4P,13.01,1.4053
triethylamine,C6H15N,3.2,1.401
trifluoroacetic acid,C2HF3O2,8.55,1.285
trifluoromethylbenzene,C7H5F3,9.4,1.415
trimethyl borate,C3H9BO3,8,1.361
trimethyl phosphate,C3H9O4P,21.26,1.395
trimethylamine,C3H9N,2.44,1.3635
triphenylmethane,C19H16,2.45,1.5788
tripropyl phosphate,C9H21O4P,10.93,1.417
tripropylamine,C9H21N,2.38,1.4171
undecane,C11H24,2.01,1.417
undecanenitrile,C11H21N,10.86,1.433
undecanol,C11H24O,5.98,1.4392
vinyl acetate,C4H6O2,2.3,1.396
water,H2O,80.1,1.333
