Name,Formula,Dielectric constant(εrel),nD
1-bromo-2-chloroethane,C2H4BrCl,7.14,1.491
1-bromo-2-methoxybenzene,C7H7BrO,8.96,1.5725
1-bromo-2-methylpropane,C4H9Br,7.18,1.435
1-bromo-3-chlorobenzene,C6H4BrCl,4.5,1.577
1-bromo-3-methylbutane,C5H11Br,6.05,1.442
1-bromo-4-methoxybenzene,C7H7BrO,7.4,1.5605
1-bromobutane,C4H9Br,7.16,1.4392
1-bromodecane,C10H21Br,4.44,1.455
1-bromododecane,C12H25Br,4.07,1.458
1-bromoheptane,C7H15Br,5.33,1.451
1-bromohexane,C6H13Br,5.82,1.448
1-bromonaphthalene,C10H7Br,4.83,1.658
1-bromononane,C9H19Br,4.74,1.454
1-bromooctane,C8H17Br,5,1.453
1-bromopentadecane,C15H31Br,3.89,1.4608
1-bromopentane,C5H11Br,6.32,1.445
1-bromopropane,C3H7Br,8.44,1.435
1-bromoundecane,C11H23Br,4.73,1.457
"1-chloro-2,3-epoxypropane",C3H5ClO,23,1.438
"1-chloro-2,4-bis(trifluoromethyl)benzene",C8H3ClF6,5.44,1.414
1-chloro-2-methylbenzene,C7H7Cl,4.45,1.527
1-chloro-2-methylpropane,C4H9Cl,6.49,1.398
1-chloro-3-methylbenzene,C7H7Cl,5.55,1.522
1-chloro-3-methylbutane,C5H11Cl,6.4,1.409
1-chlorobutane,C4H9Cl,9.6,1.4021
1-chlorododecane,C12H25Cl,4.17,1.443
1-chloroheptane,C7H15Cl,5.48,1.426
1-chlorohexane,C6H13Cl,5.82,1.42
1-chloronaphthalene,C10H7Cl,5,1.633
1-chlorooctane,C8H17Cl,5.05,1.431
1-chloropentane,C5H11Cl,6.6,1.412
1-chloropropane,C3H7Cl,8.53,1.388
1-decene,C10H20,2.7,1.4215
1-dodecanol,C12H26O,6.5,1.4413
1-dodecene,C12H24,2.19,1.4302
1-ethoxynaphthalene,C12H12O,3.3,1.597
1-ethyl-4-methylbenzene,C9H12,2.24,1.493
1-fluoro-2-methylbenzene,C7H7F,4.22,1.4704
1-fluoro-3-methylbenzene,C7H7F,5.42,1.4691
1-fluoro-4-methylbenzene,C7H7F,5.86,1.469
1-fluorooctane,C8H17F,3.89,1.3935
1-fluoropentane,C5H11F,4.24,1.3573
1-formylpiperidine,C6H11NO,26.15,1.484
1-heptene,C7H14,2.1,1.3999
1-hexanethiol,C6H14S,4.44,1.4494
1-hexene,C6H12,2.05,1.3879
1-iodo-2-methylpropane,C4H9I,6.47,1.496
1-iodo-3-methylbutane,C5H11I,5.6,1.493
1-iodobutane,C4H9I,6.35,1.4979
1-iodododecane,C12H25I,3.93,1.4844
1-iodoheptane,C7H15I,4.92,1.49
1-iodohexadecane,C16H33I,3.5,1.482
1-iodohexane,C6H13I,5.37,1.493
1-iodonaphthalene,C10H7I,4.56,1.702
1-iodooctane,C8H17I,4.62,1.489
1-iodopentane,C5H11I,5.81,1.496
1-iodopropane,C3H7I,7.09,1.505
1-isopropyl-4-methylbenzene,C10H14,2.24,1.4903
1-methoxy-2-methylbenzene,C8H10O,3.57,1.505
1-methoxy-3-methylbenzene,C8H10O,4.08,1.513
1-methoxy-4-methylbenzene,C8H10O,4.03,1.512
1-methyl-1-phenylhydrazine,C7H10N2,7.3,1.5832
1-methylcyclopentanol,C6H12O,6.97,1.4429
1-methylnaphthalene,C11H10,2.92,1.618
1-nitropropane,C3H7NO2,23.24,1.4013
1-nonene,C9H18,2.18,1.4161
1-nonyne,C9H16,2.52,1.422
1-octene,C8H16,2.11,1.409
1-pentanethiol,C5H12S,4.55,1.4466
1-pentene,C5H10,2.1,1.3714
1-phenyl-1-propanone,C9H10O,15.5,1.5269
1-phenylethan-1-amine,C8H11N,4.4,1.527
1-phenylethanol,C8H10O,8.9,1.5275
"1-propenyl-3,4-methylenedioxybenzene",C10H10O2,3.3,1.578
1-tert-butyl-4-methylbenzene,C11H16,2.33,1.4915
1-tridecene,C13H26,2.17,1.4328
1-undecene,C11H22,2.17,1.4284
"2,2,2-trifluoroethanol",C2H3F3O,8.55,1.291
"2,2,3-trichlorobutanal",C4H5Cl3O,10,1.4755
"2,2,3-trimethylbutane",C7H16,1.93,1.3894
"2,2,3-trimethylpentane",C8H18,1.96,1.4032
"2,2,4,4-tetramethyl-3-pentanone",C9H18O,9.36,1.419
"2,2,4-trimethylpentane",C8H18,1.94,1.3914
"2,2,5,5-tetramethyltetrahydrofuran",C8H16O,5.03,1.404
"2,2-dichloropropane",C3H6Cl2,11.63,1.412
"2,2-dimethyl-1-butanol",C6H14O,21.2,1.4188
"2,2-dimethylbutane",C6H14,1.87,1.369
"2,2-dimethylpentane",C7H16,1.92,1.3823
"2,2-dimethylpropanal",C5H10O,9.05,1.3794
"2,2-dimethylpropane",C5H12,1.91,1.3513
"2,2-dimethylpropanenitrile",C5H9N,20.09,1.377
"2,3,4,5,6-pentafluorotoluene",C7H3F5,1.93,1.402
"2,3-butanediol dinitrate",C4H8N2O6,28.8,1.4275
"2,3-dimethyl-1,3-butadiene",C6H10,2.1,1.4386
"2,3-dimethylbutane",C6H14,1.89,1.375
"2,3-dimethylpentane",C7H16,1.94,1.392
"2,4,6-trimethyl-1,3,5-trioxane",C6H12O3,13.9,1.42
"2,4,6-trimethyl-3-heptene",C10H20,2.29,1.4208
"2,4,6-trimethylpyridine",C8H11N,12.02,1.498
"2,4-dimethyl-3-pentanone",C7H14O,17.07,1.399
"2,4-dimethylaniline",C8H11N,4.9,1.5616
"2,4-dimethylheptane",C9H20,1.89,1.4023
"2,4-dimethylpentane",C7H16,1.91,1.3824
"2,4-dimethylpyridine",C7H9N,9.6,1.5009
"2,4-pentanedione",C5H8O2,23.1,1.452
"2,5,8,11-tetraoxadodecane",C8H18O4,7.5,1.423
"2,5-dimethyl-2-hexene",C8H16,2.43,1.4143
"2,5-dimethylheptane",C9H20,1.89,1.4033
"2,5-dimethylpyrazine",C6H8N2,2.44,1.4992
"2,5-dimethyltetrahydrofuran",C6H12O,3.05,1.394
"2,6-di-tert-butylpyridine",C13H21N,3.39,1.473
"2,6-difluoropyridine",C5H3F2N,107.8,1.437
"2,6-dimethyl-2-heptene",C9H18,2.61,1.4224
"2,6-dimethyl-4-heptanone",C9H18O,9.91,1.412
"2,6-dimethylheptane",C9H20,1.99,1.4008
"2,6-dimethylpyrazine",C6H8N2,2.65,1.5
"2,6-dimethylpyridine",C7H9N,7.33,1.497
"2,6-dimethylpyridine N-oxide",C7H9NO,46.11,1.5685
"2,7-dimethyloctane",C10H22,1.98,1.4099
"2,N,N-trimethylaniline",C9H13N,3.4,1.5244
2-(2-aminoethylamino)ethanol,C4H12N2O,18.99,1.486
2-aminoethanol,C2H7NO,31.94,1.454
2-bromo-2-methylpropane,C4H9Br,10.1,1.428
2-bromobutane,C4H9Br,8.64,1.437
2-bromobutanoic acid,C4H7BrO2,7.2,1.472
2-bromopropane,C3H7Br,9.46,1.425
2-bromopropanoic acid,C3H5BrO2,11,1.4753
2-bromopyridine,C5H4BrN,24.02,1.571
2-bromotoluene,C7H7Br,4.28,1.555
2-butanol,C4H10O,15.8,1.395
2-butanone,C4H8O,18.5,1.379
2-butanone oxime,C4H9NO,3.4,1.4431
2-butoxyethanol,C6H14O2,5.3,1.417
2-chloro-2-methylbutane,C5H11Cl,9.3,1.405
2-chloro-2-methylpropane,C4H9Cl,10.95,1.386
2-chloroaniline,C6H6ClN,13.4,1.5895
2-chlorobutane,C4H9Cl,8.56,1.397
2-chloroethanol,C2H5ClO,25,1.4415
2-chlorophenol,C6H5ClO,8.2,1.5473
2-cyanopyridine,C6H4N2,93.77,1.525
2-ethoxyethanol,C4H10O2,5.3,1.405
2-ethoxyethyl acetate,C6H12O3,7.57,1.403
"2-ethyl-1,3-hexanediol",C8H18O2,15.24,1.451
2-ethylpyridine,C7H9N,8.33,1.4978
2-fluoro-2-methylbutane,C5H11F,5.89,1.3375
2-fluoropyridine,C5H4FN,37.29,1.468
2-heptanol,C7H16O,9.21,1.419
2-heptanone,C7H14O,11.95,1.408
2-hexanone,C6H12O,14.56,1.401
2-hydroxypropanenitrile,C3H5NO,38,1.4058
2-hydroxypropanoic acid,C3H6O3,22,1.4414
2-iodo-2-methylpropane,C4H9I,8.42,1.491
2-iodopropane,C3H7I,8.19,1.499
2-methoxy-2-methylpropane,C5H12O,4.5,1.3689
2-methoxy-4-methylphenol,C8H10O2,11,1.5353
2-methoxyaniline,C7H9NO,5.23,1.5754
2-methoxyethanol,C3H8O2,16.93,1.4021
2-methoxyphenol,C7H8O2,11.7,1.544
"2-methyl-1,3-pentadiene",C6H10,2.42,1.446
2-methyl-1-butene,C5H10,2.2,1.3785
2-methyl-1-heptanol,C8H18O,5.15,1.4219
2-methyl-1-propanol,C4H10O,16.68,1.3959
"2-methyl-2,4-pentanediol",C6H14O2,24.4,1.4274
2-methyl-2-butanol,C5H12O,5.82,1.402
2-methyl-2-heptanol,C8H18O,3.46,1.4201
2-methyl-2-hexene,C7H14,2.96,1.4075
2-methyl-2-nitropropane,C4H9NO2,23.68,1.397
2-methyl-2-phenylpropane,C10H14,2.38,1.4927
2-methyl-2-propanamine,C4H11N,4.31,1.379
2-methyl-2-propanethiol,C4H10S,5.48,1.4225
2-methyl-2-propanol,C4H10O,10.9,1.3877
2-methyl-3-heptanol,C8H18O,3.37,1.4246
2-methyl-4-heptanol,C8H18O,3.3,1.4196
2-methylaniline,C7H9N,6.34,1.5728
2-methylbenzonitrile,C8H7N,18.5,1.5279
2-methylbutane,C5H12,1.83,1.354
2-methylcyclohexanol,C7H14O,13.5,1.462
2-methylcyclohexanone,C7H12O,14,1.4477
2-methylhexane,C7H16,1.92,1.3851
2-methyloctane,C9H20,1.97,1.4029
2-methylpentane,C6H14,1.89,1.3716
2-methylpropanenitrile,C4H7N,20.8,1.372
2-methylpropanoic acid,C4H8O2,2.6,1.393
2-methylpropanoic anhydride,C8H14O3,13.6,1.406
"2-methylpropyl (Z,12R)-12-hydroxyoctadec-9-enoate",C22H42O3,4.7,1.4538
2-methylpropyl acetate,C6H12O2,5.6,1.39
2-methylpropyl benzoate,C11H14O2,5.38,1.494
2-methylpropyl butanoate,C8H16O2,4.1,1.4035
2-methylpropyl formate,C5H10O2,6.41,1.386
2-methylpropylamine,C4H11N,4.4,1.397
2-methylpropylbenzene,C10H14,2.35,1.4928
2-methylpyridine,C6H7N,9.8,1.501
2-methyltetrahydrofuran,C5H10O,6.97,1.407
2-nitroanisole,C7H7NO3,43,1.562
2-nitropropane,C3H7NO2,25.5,1.392
2-nitrotoluene,C7H7NO2,27.4,1.5474
2-octanol,C8H18O,8.2,1.4244
2-octanone,C8H16O,10.39,1.4154
2-pentanone,C5H10O,15.45,1.3901
2-pentanone oxime,C5H11NO,3.3,1.4455
2-phenyl-1-propene,C9H10,2.28,1.5349
2-phenylacetonitrile,C8H7N,18.3,1.523
2-phenylethanol,C8H10O,13,1.532
2-phenylethyl acetate,C10H12O2,4.5,1.512
2-propanol,C3H8O,19.92,1.3772
2-propanone,C3H6O,21.4,1.3586
2-propen-1-amine,C3H7N,5.96,1.421
2-propen-1-ol,C3H6O,21,1.412
2-propenenitrile,C3H3N,33.01,1.391
2-propyn-1-amine,C3H5N,6.65,1.448
2-undecanone,C11H22O,8.4,1.4291
"3,3-dimethyl-2-butanone",C6H12O,12.73,1.397
"3,3-dimethylpentane",C7H16,1.94,1.391
"3,4-dimethylpyridine",C7H9N,11.47,1.511
"3,6,9-trioxaundecane",C8H18O3,5.7,1.411
"3,6-dimethyl-3-heptene",C9H18,2.65,1.4217
3-bromoaniline,C6H6BrN,13,1.626
3-bromopentane,C5H11Br,8.37,1.443
3-bromopropene,C3H5Br,7,1.47
3-bromopyridine,C5H4BrN,9.85,1.57
3-bromotoluene,C7H7Br,5.36,1.551
3-chloroaniline,C6H6ClN,13.4,1.5942
"3-chloropropane-1,2-diyl dinitrate",C3H5ClN2O6,17.5,1.4585
3-chloropropene,C3H5Cl,8.2,1.416
3-chloropropyne,C3H3Cl,7.56,1.434
3-ethylpentane,C7H16,1.94,1.3937
3-heptanol,C7H16O,6.86,1.42
3-heptanone,C7H14O,12.9,1.4088
3-iodopentane,C5H11I,7.43,1.497
3-iodopropene,C3H5I,6.1,1.554
